#==================================================================
# OMERE 5.6.1.30196 - Orbit
#
# File: C:\Users\giorg\Documents\OMERE 5.6\orbit.dat
# Creation: 13/01/2025 03:11:53
#==================================================================

# Number of segment(s) in the mission: 1

#*************************************************************
# Segment : 1/1
#*************************************************************
# Name :                                AEOLUS Orbit
# Duration :                            5 year(s)
# Perigee :                             320.000000km
# Apogee :                              320.000000km
# Inclination :                         97.000°
# Argument of Perigee :                 0.000°
# Longitude of Ascending node :         0.000°
# (with respect to Greenwich)
# True Anomaly :                        0.000°
# Period :                              5455.596s
# Number of orbits :                    100
# Number of points per orbit :          100


#      altitude      latitude     longitude         time
#          (km)           (°)           (°)          (s)
    325.456425       -30.361       -84.974       21388.1
    324.341613       -26.801       -85.770       21442.6
    323.324187       -23.238       -86.531       21497.2
    322.420103       -19.674       -87.265       21551.8
    321.643530       -16.108       -87.976       21606.3
    321.006637       -12.541       -88.670       21660.9
    320.519397        -8.973       -89.352       21715.4
    320.189440        -5.405       -90.024       21770.0
    320.021933        -1.837       -90.692       21824.6
    320.019497         1.732       -91.357       21879.1
    320.182170         5.300       -92.025       21933.7
    320.507405         8.868       -92.697       21988.3
    320.990112        12.436       -93.378       22042.8
    321.622732        16.003       -94.072       22097.4
    322.395356        19.569       -94.783       22151.9
    323.295880        23.133       -95.515       22206.5
    324.310189        26.696       -96.275       22261.1
    325.422378        30.256       -97.070       22315.6
    326.614998        33.814       -97.908       22370.2
    327.869330        37.369       -98.798       22424.7
    329.165673        40.920       -99.755       22479.3
    330.483654        44.465      -100.794       22533.9
    331.802549        48.004      -101.938       22588.4
    333.101605        51.535      -103.218       22643.0
    334.360369        55.055      -104.674       22697.6
    335.559013        58.560      -106.367       22752.1
    336.678640        62.044      -108.385       22806.7
    337.701594        65.500      -110.866       22861.2
    338.611733        68.911      -114.029       22915.8
    339.394690        72.254      -118.252       22970.4
    340.038098        75.481      -124.219       23024.9
    340.531794        78.492      -133.236       23079.5
    340.867975        81.068      -147.747       23134.0
    341.041330        82.730      -170.867       23188.6
    341.049117        82.814       160.037       23243.2
    340.891213        81.273       136.065       23297.7
    340.570114        78.757       120.866       23352.3
    340.090896        75.774       111.460       23406.8
    339.461130        72.563       105.275       23461.4
    338.690768        69.228       100.924       23516.0
    337.791975        65.822        97.681       23570.5
    336.778940        62.370        95.148       23625.1
    335.667649        58.887        93.093       23679.7
    334.475630        55.384        91.374       23734.2
    333.221673        51.866        89.898       23788.8
    331.925534        48.336        88.604       23843.3
    330.607620        44.798        87.449       23897.9
    329.288669        41.253        86.400       23952.5
    327.989424        37.702        85.437       24007.0
    326.730303        34.148        84.541       24061.6
    325.531082        30.590        83.699       24116.1
    324.410587        27.030        82.901       24170.7
    323.386398        23.467        82.137       24225.3
    322.474575        19.903        81.402       24279.8
    321.689409        16.337        80.690       24334.4
    321.043204        12.771        79.995       24389.0
    320.546080         9.203        79.313       24443.5
    320.205822         5.635        78.639       24498.1
    320.027757         2.066        77.972       24552.6
    320.014671        -1.502        77.306       24607.2
    320.166770        -5.071        76.639       24661.8
    320.481673        -8.639        75.967       24716.3
    320.954450       -12.206        75.287       24770.9
    321.577698       -15.773        74.594       24825.4
    322.341656       -19.339        73.884       24880.0
    323.234355       -22.904        73.153       24934.6
    324.241804       -26.467        72.395       24989.1
    325.348205       -30.027        71.603       25043.7
    326.536202       -33.586        70.768       25098.3
    327.787147       -37.141        69.882       25152.8
    329.081395       -40.692        68.930       25207.4
    330.398606       -44.237        67.897       25261.9
    331.718068       -47.777        66.760       25316.5
    333.019021       -51.308        65.490       25371.1
    334.280983       -54.829        64.047       25425.6
    335.484074       -58.335        62.371       25480.2
    336.609332       -61.821        60.377       25534.7
    337.639010       -65.278        57.932       25589.3
    338.556860       -68.694        54.822       25643.9
    339.348394       -72.042        50.683       25698.4
    340.001111       -75.278        44.859       25753.0
    340.504700       -78.308        36.097       25807.6
    340.851203       -80.923        22.039       25862.1
    341.035144       -82.665        -0.486       25916.7
    341.053615       -82.862       -29.514       25971.2
    340.906324       -81.409       -54.056       26025.8
    340.595600       -78.937       -69.746       26080.4
    340.126353       -75.975       -79.431       26134.9
    339.506000       -72.774       -85.772       26189.5
    338.744340       -69.445       -90.214       26244.0
    337.853403       -66.042       -93.514       26298.6
    336.847255       -62.593       -96.085       26353.2
    335.741774       -59.112       -98.165       26407.7
    334.554395       -55.610       -99.903       26462.3
    333.303837       -52.092      -101.392       26516.8
    332.009803       -48.563      -102.696       26571.4
    330.692668       -45.025      -103.860       26626.0
    329.373158       -41.481      -104.914       26680.5
    328.072025       -37.931      -105.883       26735.1
    326.809718       -34.377      -106.782       26789.7
    325.606065       -30.819      -107.628       26844.2
    324.479962       -27.259      -108.428       26898.8
    323.449075       -23.697      -109.194       26953.3
    322.529572       -20.132      -109.930       27007.9
    321.735865       -16.567      -110.644       27062.5
    321.080390       -13.000      -111.340       27117.0
    320.573414        -9.433      -112.023       27171.6
    320.222876        -5.864      -112.697       27226.1
    320.034264        -2.296      -113.365       27280.7
    320.010529         1.273      -114.030       27335.3
    320.152045         4.841      -114.697       27389.8
    320.456594         8.409      -115.369       27444.4
    320.919410        11.977      -116.048       27499.0
    321.533247        15.544      -116.740       27553.5
    322.288489        19.110      -117.449       27608.1
    323.173306        22.674      -118.178       27662.6
    324.173829        26.237      -118.934       27717.2
    325.274371        29.798      -119.724       27771.8
    326.457667        33.357      -120.556       27826.3
    327.705144        36.912      -121.439       27880.9
    328.997212        40.463      -122.386       27935.4
    330.313567        44.009      -123.413       27990.0
    331.633510        47.549      -124.543       28044.6
    332.936275        51.081      -125.803       28099.1
    334.201352        54.603      -127.233       28153.7
    335.408814        58.110      -128.892       28208.3
    336.539628        61.597      -130.862       28262.8
    337.575961        65.057      -133.273       28317.4
    338.501463        68.475      -136.331       28371.9
    339.301522        71.829      -140.388       28426.5
    339.963506        75.075      -146.075       28481.1
    340.476955        78.122      -154.592       28535.6
    340.833757        80.774      -168.211       28590.2
    341.028272        82.593       169.862       28644.7
    341.057427        82.904       140.959       28699.3
    340.920759        81.541       115.863       28753.9
    340.620429        79.114        99.668       28808.4
    340.161185        76.174        89.691       28863.0
    339.550283        72.984        83.189       28917.6
    338.797375        69.662        78.652       28972.1
    337.914354        66.263        75.294       29026.7
    336.915159        62.816        72.685       29081.2
    335.815559        59.337        70.578       29135.8
    334.632898        55.836        68.821       29190.4
    333.385821        52.319        67.318       29244.9
    332.093976        48.791        66.004       29299.5
    330.777705        45.253        64.832       29354.0
    329.457723        41.709        63.772       29408.6
    328.154787        38.159        62.798       29463.2
    326.889377        34.606        61.894       29517.7
    325.681370        31.048        61.046       29572.3
    324.549730        27.488        60.243       29626.9
    323.512213        23.926        59.475       29681.4
    322.585090        20.362        58.737       29736.0
    321.782893        16.796        58.022       29790.5
    321.118191        13.230        57.325       29845.1
    320.601397         9.662        56.641       29899.7
    320.240601         6.094        55.967       29954.2
    320.041455         2.526        55.299       30008.8
    320.007073        -1.043        54.633       30063.3
    320.137995        -4.611        53.967       30117.9
    320.432172        -8.180        53.296       30172.5
    320.884997       -11.747        52.616       30227.0
    321.489382       -15.314        51.925       30281.6
    322.235859       -18.880        51.218       30336.1
    323.112736       -22.445        50.490       30390.7
    324.106269       -26.008        49.736       30445.3
    325.200879       -29.569        48.948       30499.8
    326.379398       -33.128        48.120       30554.4
    327.623326       -36.683        47.241       30609.0
    328.913130       -40.235        46.298       30663.5
    330.228542       -43.781        45.276       30718.1
    331.548881       -47.322        44.154       30772.6
    332.853373       -50.854        42.904       30827.2
    334.121483       -54.376        41.485       30881.8
    335.333235       -57.885        39.844       30936.3
    336.469532       -61.374        37.897       30990.9
    337.512454       -64.835        35.520       31045.4
    338.445546       -68.257        32.512       31100.0
    339.254079       -71.616        28.534       31154.6
    339.925285       -74.871        22.979       31209.1
    340.448561       -77.935        14.699       31263.7
    340.815638       -80.622         1.504       31318.3
    341.020715       -82.514       -19.824       31372.8
    341.060551       -82.938       -48.549       31427.4
    340.934515       -81.668       -74.179       31481.9
    340.644600       -79.290       -90.894       31536.5
    340.195387       -76.373      -101.173       31591.1
    339.593978       -73.194      -107.842       31645.6
    338.849872       -69.879      -112.476       31700.2
    337.974823       -66.483      -115.895       31754.7
    336.982646       -63.039      -118.544       31809.3
    335.889000       -59.561      -120.678       31863.9
    334.711134       -56.062      -122.453       31918.4
    333.467620       -52.546      -123.971       31973.0
    332.178048       -49.018      -125.296       32027.6
    330.862728       -45.481      -126.475       32082.1
    329.542358       -41.937      -127.542       32136.7
    328.237704       -38.388      -128.521       32191.2
    326.969274       -34.834      -129.429       32245.8
    325.756991       -31.277      -130.280       32300.4
    324.619889       -27.717      -131.086       32354.9
    323.575810       -24.155      -131.856       32409.5
    322.641126       -20.591      -132.595       32464.0
    321.830491       -17.026      -133.312       32518.6
    321.156605       -13.459      -134.010       32573.2
    320.630025        -9.892      -134.694       32627.7
    320.258997        -6.324      -135.369       32682.3
    320.049328        -2.755      -136.037       32736.9
    320.004302         0.813      -136.703       32791.4
    320.124623         4.382      -137.370       32846.0
    320.408407         7.950      -138.040       32900.5
    320.851212        11.518      -138.719       32955.1
    321.446106        15.085      -139.409       33009.7
    322.183770        18.651      -140.115       33064.2
    323.052650        22.216      -140.841       33118.8
    324.039127        25.779      -141.594       33173.3
    325.127736        29.340      -142.379       33227.9
    326.301400        32.899      -143.205       33282.5
    327.541698        36.455      -144.080       33337.0
    328.829154        40.006      -145.018       33391.6
    330.143539        43.553      -146.034       33446.1
    331.464186        47.094      -147.149       33500.7
    332.770320        50.627      -148.391       33555.3
